Geo_Code,Prov_name,Geo_nom,Topic,Characteristic,Note,Total,Flag_total,Male,Flag_Male,Female,Flag_Female
59350310,British Columbia,310,Population and dwelling counts,Population in 2011,1,946,,,...,,...
59350310,British Columbia,310,Population and dwelling counts,Population in 2006,1,,...,,...,,...
59350310,British Columbia,310,Population and dwelling counts,2006 to 2011 population change (%),,,...,,...,,...
59350310,British Columbia,310,Population and dwelling counts,Total private dwellings,2,484,,,...,,...
59350310,British Columbia,310,Population and dwelling counts,Private dwellings occupied by usual residents,3,393,,,...,,...
59350310,British Columbia,310,Population and dwelling counts,Population density per square kilometre,,,...,,...,,...
59350310,British Columbia,310,Population and dwelling counts,Land area (square km),,0.59,,,...,,...
59350310,British Columbia,310,Age characteristics,Total population by age groups,4,950,,445,,505,
59350310,British Columbia,310,Age characteristics,   0 to 4 years,,45,,20,,20,
59350310,British Columbia,310,Age characteristics,   5 to 9 years,,50,,25,,25,
59350310,British Columbia,310,Age characteristics,   10 to 14 years,,60,,25,,30,
59350310,British Columbia,310,Age characteristics,   15 to 19 years,,80,,40,,40,
59350310,British Columbia,310,Age characteristics,      15 years,,20,,5,,15,
59350310,British Columbia,310,Age characteristics,      16 years,,20,,5,,15,
59350310,British Columbia,310,Age characteristics,      17 years,,15,,10,,0,
59350310,British Columbia,310,Age characteristics,      18 years,,25,,15,,15,
59350310,British Columbia,310,Age characteristics,      19 years,,10,,5,,5,
59350310,British Columbia,310,Age characteristics,   20 to 24 years,,40,,25,,20,
59350310,British Columbia,310,Age characteristics,   25 to 29 years,,50,,20,,35,
59350310,British Columbia,310,Age characteristics,   30 to 34 years,,45,,30,,20,
59350310,British Columbia,310,Age characteristics,   35 to 39 years,,60,,25,,30,
59350310,British Columbia,310,Age characteristics,   40 to 44 years,,60,,30,,35,
59350310,British Columbia,310,Age characteristics,   45 to 49 years,,80,,35,,45,
59350310,British Columbia,310,Age characteristics,   50 to 54 years,,80,,30,,50,
59350310,British Columbia,310,Age characteristics,   55 to 59 years,,55,,25,,30,
59350310,British Columbia,310,Age characteristics,   60 to 64 years,,65,,35,,35,
59350310,British Columbia,310,Age characteristics,   65 to 69 years,,65,,30,,40,
59350310,British Columbia,310,Age characteristics,   70 to 74 years,,45,,20,,20,
59350310,British Columbia,310,Age characteristics,   75 to 79 years,,35,,15,,20,
59350310,British Columbia,310,Age characteristics,   80 to 84 years,,15,,10,,10,
59350310,British Columbia,310,Age characteristics,   85 years and over,,5,,0,,0,
59350310,British Columbia,310,Age characteristics,Median age of the population,5,42.9,,41.8,,44.3,
59350310,British Columbia,310,Age characteristics,% of the population aged 15 and over,,83.5,,81.8,,84.2,
59350310,British Columbia,310,Marital status,Total population 15 years and over by marital status,6,790,,365,,425,
59350310,British Columbia,310,Marital status,   Married or living with a common-law partner,,460,,230,,235,
59350310,British Columbia,310,Marital status,      Married (and not separated),,390,,195,,200,
59350310,British Columbia,310,Marital status,      Living common law,,75,,35,,40,
59350310,British Columbia,310,Marital status,   Not married and not living with a common-law partner,,330,,140,,190,
59350310,British Columbia,310,Marital status,      Single (never legally married),,195,,100,,95,
59350310,British Columbia,310,Marital status,      Separated,,25,,5,,25,
59350310,British Columbia,310,Marital status,      Divorced,,70,,20,,50,
59350310,British Columbia,310,Marital status,      Widowed,,35,,10,,25,
59350310,British Columbia,310,Family characteristics,Total number of census families in private households,7,290,,,...,,...
59350310,British Columbia,310,Family characteristics,   Size of census family: 2 persons,,170,,,...,,...
59350310,British Columbia,310,Family characteristics,   Size of census family: 3 persons,,65,,,...,,...
59350310,British Columbia,310,Family characteristics,   Size of census family: 4 persons,,40,,,...,,...
59350310,British Columbia,310,Family characteristics,   Size of census family: 5 or more persons,,20,,,...,,...
59350310,British Columbia,310,Family characteristics,Total number of census families in private households,8,290,,,...,,...
59350310,British Columbia,310,Family characteristics,   Total couple families by family structure and number of children,,230,,,...,,...
59350310,British Columbia,310,Family characteristics,      Married couples,,195,,,...,,...
59350310,British Columbia,310,Family characteristics,         Without children at home,,115,,,...,,...
59350310,British Columbia,310,Family characteristics,         With children at home,,80,,,...,,...
59350310,British Columbia,310,Family characteristics,            1 child,,35,,,...,,...
59350310,British Columbia,310,Family characteristics,            2 children,,30,,,...,,...
59350310,British Columbia,310,Family characteristics,            3 or more children,,15,,,...,,...
59350310,British Columbia,310,Family characteristics,      Common-law couples,,35,,,...,,...
59350310,British Columbia,310,Family characteristics,         Without children at home,,15,,,...,,...
59350310,British Columbia,310,Family characteristics,         With children at home,,20,,,...,,...
59350310,British Columbia,310,Family characteristics,            1 child,,5,,,...,,...
59350310,British Columbia,310,Family characteristics,            2 children,,5,,,...,,...
59350310,British Columbia,310,Family characteristics,            3 or more children,,5,,,...,,...
59350310,British Columbia,310,Family characteristics,   Total lone-parent families by sex of parent and number of children,,60,,,...,,...
59350310,British Columbia,310,Family characteristics,      Female parent,,50,,,...,,...
59350310,British Columbia,310,Family characteristics,         1 child,,30,,,...,,...
59350310,British Columbia,310,Family characteristics,         2 children,,20,,,...,,...
59350310,British Columbia,310,Family characteristics,         3 or more children,,5,,,...,,...
59350310,British Columbia,310,Family characteristics,      Male parent,,10,,,...,,...
59350310,British Columbia,310,Family characteristics,         1 child,,5,,,...,,...
59350310,British Columbia,310,Family characteristics,         2 children,,0,,,...,,...
59350310,British Columbia,310,Family characteristics,         3 or more children,,0,,,...,,...
59350310,British Columbia,310,Family characteristics,Total children in census families in private households,,265,,,...,,...
59350310,British Columbia,310,Family characteristics,   Under six years of age,,55,,,...,,...
59350310,British Columbia,310,Family characteristics,   6 to 14 years,,95,,,...,,...
59350310,British Columbia,310,Family characteristics,   15 to 17 years,,45,,,...,,...
59350310,British Columbia,310,Family characteristics,   18 to 24 years,,50,,,...,,...
59350310,British Columbia,310,Family characteristics,   25 years and over,,15,,,...,,...
59350310,British Columbia,310,Family characteristics,Average number of children at home per census family,,0.9,,,...,,...
59350310,British Columbia,310,Household and dwelling characteristics,Total number of persons in private households,,950,,445,,505,
59350310,British Columbia,310,Household and dwelling characteristics,   Number of persons not in census families,,160,,65,,95,
59350310,British Columbia,310,Household and dwelling characteristics,      Living with relatives,9,15,,5,,10,
59350310,British Columbia,310,Household and dwelling characteristics,      Living with non-relatives only,,50,,20,,25,
59350310,British Columbia,310,Household and dwelling characteristics,      Living alone,,95,,35,,60,
59350310,British Columbia,310,Household and dwelling characteristics,   Number of census family persons,,790,,375,,410,
59350310,British Columbia,310,Household and dwelling characteristics,Average number of persons per census family,,2.7,,,...,,...
59350310,British Columbia,310,Household and dwelling characteristics,Total number of persons aged 65 years and over in private households,,160,,80,,85,
59350310,British Columbia,310,Household and dwelling characteristics,   Number of persons not in census families aged 65 years and over,,35,,10,,30,
59350310,British Columbia,310,Household and dwelling characteristics,      Living with relatives,9,5,,0,,5,
59350310,British Columbia,310,Household and dwelling characteristics,      Living with non-relatives only,,5,,0,,5,
59350310,British Columbia,310,Household and dwelling characteristics,      Living alone,,25,,10,,20,
59350310,British Columbia,310,Household and dwelling characteristics,   Number of census family persons aged 65 years and over,,125,,70,,55,
59350310,British Columbia,310,Household and dwelling characteristics,Total number of private households by household type,10,395,,,...,,...
59350310,British Columbia,310,Household and dwelling characteristics,   Census-family households,,285,,,...,,...
59350310,British Columbia,310,Household and dwelling characteristics,      One-family-only households,11,250,,,...,,...
59350310,British Columbia,310,Household and dwelling characteristics,         Couple-family households,12,205,,,...,,...
59350310,British Columbia,310,Household and dwelling characteristics,            Without children,,120,,,...,,...
59350310,British Columbia,310,Household and dwelling characteristics,            With children,,90,,,...,,...
59350310,British Columbia,310,Household and dwelling characteristics,         Lone-parent-family households,,45,,,...,,...
59350310,British Columbia,310,Household and dwelling characteristics,      Other family households,13,30,,,...,,...
59350310,British Columbia,310,Household and dwelling characteristics,         One-family households with persons not in a census family,,30,,,...,,...
59350310,British Columbia,310,Household and dwelling characteristics,            Couple-family households,14,15,,,...,,...
59350310,British Columbia,310,Household and dwelling characteristics,               Without children,,5,,,...,,...
59350310,British Columbia,310,Household and dwelling characteristics,               With children,,5,,,...,,...
59350310,British Columbia,310,Household and dwelling characteristics,            Lone-parent-family households,,15,,,...,,...
59350310,British Columbia,310,Household and dwelling characteristics,         Two-or-more-family households,,5,,,...,,...
59350310,British Columbia,310,Household and dwelling characteristics,   Non-census-family households,,105,,,...,,...
59350310,British Columbia,310,Household and dwelling characteristics,      One-person households,,90,,,...,,...
59350310,British Columbia,310,Household and dwelling characteristics,      Two-or-more-person households,,15,,,...,,...
59350310,British Columbia,310,Household and dwelling characteristics,Total number of occupied private dwellings by structural type of dwelling,15,390,,,...,,...
59350310,British Columbia,310,Household and dwelling characteristics,   Single-detached house,,245,,,...,,...
59350310,British Columbia,310,Household and dwelling characteristics,"   Apartment, building that has five or more storeys",,0,,,...,,...
59350310,British Columbia,310,Household and dwelling characteristics,   Movable dwelling,16,130,,,...,,...
59350310,British Columbia,310,Household and dwelling characteristics,   Other dwelling,17,25,,,...,,...
59350310,British Columbia,310,Household and dwelling characteristics,      Semi-detached house,,0,,,...,,...
59350310,British Columbia,310,Household and dwelling characteristics,      Row house,,0,,,...,,...
59350310,British Columbia,310,Household and dwelling characteristics,"      Apartment, duplex",,0,,,...,,...
59350310,British Columbia,310,Household and dwelling characteristics,"      Apartment, building that has fewer than five storeys",,20,,,...,,...
59350310,British Columbia,310,Household and dwelling characteristics,      Other single-attached house,,0,,,...,,...
59350310,British Columbia,310,Household and dwelling characteristics,Total number of private households by household size,18,390,,,...,,...
59350310,British Columbia,310,Household and dwelling characteristics,   1 person,,95,,,...,,...
59350310,British Columbia,310,Household and dwelling characteristics,   2 persons,,155,,,...,,...
59350310,British Columbia,310,Household and dwelling characteristics,   3 persons,,70,,,...,,...
59350310,British Columbia,310,Household and dwelling characteristics,   4 persons,,45,,,...,,...
59350310,British Columbia,310,Household and dwelling characteristics,   5 persons,,25,,,...,,...
59350310,British Columbia,310,Household and dwelling characteristics,   6 or more persons,,5,,,...,,...
59350310,British Columbia,310,Household and dwelling characteristics,Number of persons in private households,,950,,,...,,...
59350310,British Columbia,310,Household and dwelling characteristics,Average number of persons in private households,,2.4,,,...,,...
59350310,British Columbia,310,Detailed mother tongue,Detailed mother tongue - Total population excluding institutional residents,19,945,,440,,505,
59350310,British Columbia,310,Detailed mother tongue,��Single responses�,,935,,435,,500,
59350310,British Columbia,310,Detailed mother tongue,����English�,,855,,395,,460,
59350310,British Columbia,310,Detailed mother tongue,����French�,,25,,5,,15,
59350310,British Columbia,310,Detailed mother tongue,����Non-official languages�,,60,,30,,30,
59350310,British Columbia,310,Detailed mother tongue,����� Selected Aboriginal languages,20,0,,0,,0,
59350310,British Columbia,310,Detailed mother tongue,��������Atikamekw���,,0,,0,,0,
59350310,British Columbia,310,Detailed mother tongue,"������� Cree, n.o.s.�",,0,,0,,0,
59350310,British Columbia,310,Detailed mother tongue,������� Dene�,,0,,0,,0,
59350310,British Columbia,310,Detailed mother tongue,��������Innu/Montagnais�,,0,,0,,0,
59350310,British Columbia,310,Detailed mother tongue,��������Inuktitut�,,0,,0,,0,
59350310,British Columbia,310,Detailed mother tongue,��������Mi'kmaq�,,0,,0,,0,
59350310,British Columbia,310,Detailed mother tongue,��������Ojibway�,,0,,0,,0,
59350310,British Columbia,310,Detailed mother tongue,������� Oji-Cree�,,0,,0,,0,
59350310,British Columbia,310,Detailed mother tongue,������� Stoney�,,0,,0,,0,
59350310,British Columbia,310,Detailed mother tongue,      Selected non-Aboriginal languages,21,55,,30,,30,
59350310,British Columbia,310,Detailed mother tongue,"������� African languages, n.i.e.�",,0,,0,,0,
59350310,British Columbia,310,Detailed mother tongue,������� Afrikaans�,,0,,0,,0,
59350310,British Columbia,310,Detailed mother tongue,������� Akan (Twi)�,,0,,0,,0,
59350310,British Columbia,310,Detailed mother tongue,������� Albanian�,,0,,0,,0,
